Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
ModulationIndexTooltip,変調指数ツールチップ,FM合成における変調の深さです。値が大きいほど、より複雑で金属的な音色になります。,The depth of modulation in FM synthesis. Larger values result in more complex and metallic timbres.,FM 合成中调制的深度。值越大，音色越复杂和金属化。,FM 合成中調變的深度。值越大，音色越複雜和金屬化。,FM 합성에서 변조의 깊이입니다. 값이 클수록 더 복잡하고 금속성 있는 음색이 됩니다.,La profundidad de la modulación en la síntesis FM. Valores mayores dan como resultado timbres más complejos y metálicos.,عمق التعديل في توليف FM. تؤدي القيم الأكبر إلى أجراس أكثر تعقيدًا ومعدنية.,
QualityNoiseReductionGroupHeader,品質・ノイズ対策グループヘッダー,品質・ノイズ対策,Quality/Noise Reduction,质量/降噪,品質/降噪,품질/노이즈 대책,Calidad/Reducción de Ruido,الجودة / تقليل الضوضاء,
EnableBandlimitedSynthesisCheckbox,バンドリミテッド合成有効チェックボックス,"バンドリミテッド合成を有効にする (エイリアシングを削減)","Enable Bandlimited Synthesis (Reduce Aliasing)","启用带限合成 (减少混叠)","啟用帶限合成 (減少混疊)","밴드리미티드 합성 활성화 (에일리어싱 감소)","Habilitar Síntesis de Banda Limitada (Reducir Aliasing)","تمكين التوليف محدود النطاق (تقليل التعرج)",
EnableBandlimitedSynthesisTooltip,バンドリミテッド合成有効ツールチップ,"波形生成時にエイリアシング（折り返しノイズ）を低減する技術を有効にします。音質が向上しますが、CPU負荷がわずかに増加します。","Enables techniques to reduce aliasing (folding noise) during waveform generation. Improves sound quality but slightly increases CPU load.","启用在波形生成时减少混叠（折返噪声）的技术。提高音质，但会略微增加CPU负载。","啟用在波形生成時減少混疊（折返噪音）的技術。提高音質，但會略微增加CPU負載。","파형 생성 시 에일리어싱(폴딩 노이즈)을 줄이는 기술을 활성화합니다. 음질이 향상되지만 CPU 부하가 약간 증가합니다.","Habilita técnicas para reducir el aliasing (ruido de plegado) durante la generación de formas de onda. Mejora la calidad del sonido pero aumenta ligeramente la carga de la CPU.","تمكين التقنيات لتقليل التعرج (ضوضاء الطي) أثناء توليد شكل الموجة. يحسن جودة الصوت ولكنه يزيد قليلاً من تحميل وحدة المعالج المركزية.",
EnableAntiPopCheckbox,アンチポップ有効チェックボックス,"アンチポップを有効にする (クリックノイズを削減)","Enable Anti-Pop (Reduce Click Noise)","启用抗爆音 (减少咔嗒声)","啟用抗爆音 (減少喀嗒聲)","안티팝 활성화 (클릭 노이즈 감소)","Habilitar Anti-Pop (Reducir Ruido de Clic)","تمكين منع الفرقعة (تقليل ضوضاء النقر)",
EnableAntiPopTooltip,アンチポップ有効ツールチップ,"ノートの開始時と終了時に短いフェードを適用し、「プツッ」というポップノイズを低減します。","Applies short fades at the start and end of notes to reduce 'pop' noises.","在音符的开始和结束时应用短时淡入淡出来减少“爆音”噪声。","在音符的開始和結束時應用短時淡入淡出來減少「爆音」噪音。","노트 시작과 끝에 짧은 페이드를 적용하여 '팝' 노이즈를 줄입니다.","Aplica fundidos cortos al inicio y final de las notas para reducir ruidos de 'pop'.","يطبق تلاشيات قصيرة في بداية ونهاية النوتات لتقليل ضوضاء 'الفرقعة'.",
AntiPopAttackLabel,アンチポップアタックラベル,アタック (s),Attack (s),起音 (秒),起音 (秒),어택 (초),Ataque (s),الهجوم (ث),
AntiPopReleaseLabel,アンチポップリリースラベル,リリース (s),Release (s),释放 (秒),釋放 (秒),릴리스 (초),Liberación (s),التحرير (ث),
EnableNoteCrossfadeCheckbox,ノートクロスフェード有効チェックボックス,ノートクロスフェードを有効にする,Enable Note Crossfade,启用音符交叉淡化,啟用音符交叉淡化,노트 크로스페이드 활성화,Habilitar Fundido Cruzado de Notas,تمكين التلاشي المتقاطع للنوتات,
EnableNoteCrossfadeTooltip,ノートクロスフェード有効ツールチップ,ノートの切り替わりをスムーズにし、ノイズを低減します。,Smoothes transitions between notes to reduce noise.,平滑音符之间的过渡以减少噪音。,平滑音符之間的過渡以減少噪音。,노트 전환을 부드럽게 하여 노이즈를 줄입니다.,Suaviza las transiciones entre notas para reducir el ruido.,ينعم الانتقالات بين النوتات لتقليل الضوضاء.,
CrossfadeTimeLabel,クロスフェード時間ラベル,クロスフェード時間(s),Crossfade Time(s),交叉淡化时间(秒),交叉淡化時間(秒),크로스페이드 시간(초),Tiempo de Fundido(s),وقت التلاشي المتقاطع(ث),
EffectsTabHeader,エフェクトタブ ヘッダー,エフェクト,Effects,效果,效果,이펙트,Efectos,المؤثرات,
EffectsTabTooltip,エフェクトタブ ツールチップ,音質を調整するための様々なエフェクトを設定します。,Configure various effects to adjust audio quality.,配置各种效果来调整音质。,配置各種效果來調整音質。,음질을 조정하기 위한 다양한 이펙트를 설정합니다.,Configura varios efectos para ajustar la calidad del audio.,قم بتكوين مؤثرات مختلفة لضبط جودة الصوت.,
EnableEffectsCheckbox,エフェクト有効チェックボックス,エフェクトを有効にする,Enable Effects,启用效果,啟用效果,이펙트 활성화,Habilitar Efectos,تمكين المؤثرات,
EnableEffectsTooltip,エフェクト有効ツールチップ,すべてのオーディオエフェクトの有効/無効を切り替えます。,Toggles all audio effects on/off.,切换所有音频效果的开关。,切換所有音訊效果的開關。,모든 오디오 이펙트 활성화/비활성화 전환합니다.,Activa/desactiva todos los efectos de audio.,تبديل جميع المؤثرات الصوتية بين تشغيل / إيقاف.,
CompressorGroupHeader,コンプレッサーグループ ヘッダー,コンプレッサー,Compressor,压缩器,壓縮器,컴프레서,Compresor,ضاغط,
CompressorTooltip,コンプレッサー ツールチップ,音量のばらつきを抑え、音圧を上げるエフェクトです。,An effect that suppresses volume variations and increases sound pressure.,抑制音量变化并增加声压的效果。,抑制音量變化並增加聲壓的效果。,볼륨 변동을 억제하고 음압을 높이는 이펙트입니다.,Un efecto que suprime las variaciones de volumen y aumenta la presión sonora.,تأثير يقلل من تقلبات مستوى الصوت ويزيد من ضغط الصوت.,
EnableCompressorCheckbox,コンプレッサー有効チェックボックス,コンプレッサーを有効にする,Enable Compressor,启用压缩器,啟用壓縮器,컴프레서 활성화,Habilitar Compresor,تمكين الضاغط,
CompressorThresholdLabel,コンプレッサー閾値ラベル,閾値,Threshold,阈值,閾值,임계값,Umbral,العتبة,
CompressorThresholdTooltip,コンプレッサー閾値ツールチップ,コンプレッサーが作動を開始する音量のしきい値。,The volume threshold at which the compressor starts working.,压缩器开始工作的音量阈值。,壓縮器開始工作的音量閾值。,컴프레서가 작동하기 시작하는 볼륨 임계값입니다.,El umbral de volumen al que el compresor comienza a funcionar.,عتبة مستوى الصوت التي يبدأ عندها الضاغط في العمل.,
CompressorRatioLabel,コンプレッサーレシオ ラベル,レシオ,Ratio,比率,比率,비율,Ratio,النسبة,
CompressorRatioTooltip,コンプレッサーレシオ ツールチップ,しきい値を超えた音を圧縮する比率。4:1の場合、しきい値を4dB超えた音は1dB超えた音に圧縮されます。,The ratio at which sound exceeding the threshold is compressed. E.g., at 4:1, sound 4dB over the threshold is compressed to 1dB over.,超过阈值的声音被压缩的比例。例如4:1，超过阈值4dB的声音将被压缩到超过阈值1dB。,超過閾值的聲音被壓縮的比例。例如4:1，超過閾值4dB的聲音將被壓縮到超過閾值1dB。,임계값을 초과하는 사운드를 압축하는 비율입니다. 예: 4:1 비율은 임계값을 4dB 초과한 사운드를 1dB 초과한 사운드로 압축합니다.,La proporción en que se comprime el sonido que supera el umbral. P.ej., a 4:1, el sonido 4dB por encima del umbral se comprime a 1dB por encima.,النسبة التي يتم بها ضغط الصوت الذي يتجاوز العتبة. على سبيل المثال، بنسبة 4:1، يتم ضغط الصوت الذي يزيد 4 ديسيبل فوق العتبة إلى 1 ديسيبل فوقها.,
CompressorAttackLabel,コンプレッサーアタック ラベル,アタック (s),Attack (s),起音 (秒),起音 (秒),어택 (초),Ataque (s),الهجوم (ث),
CompressorAttackTooltip,コンプレッサーアタック ツールチップ,コンプレッサーが作動し始めるまでの時間（秒）。,The time (in seconds) it takes for the compressor to start working.,压缩器开始工作所需的时间（秒）。,壓縮器開始工作所需的時間（秒）。,컴프레서가 작동하기 시작할 때까지의 시간(초)입니다.,El tiempo (en segundos) que tarda el compresor en empezar a funcionar.,الوقت (بالثواني) الذي يستغرقه الضاغط لبدء العمل.,
CompressorReleaseLabel,コンプレッサーリリース ラベル,リリース (s),Release (s),释放 (秒),釋放 (秒),릴리스 (초),Liberación (s),التحرير (ث),
CompressorReleaseTooltip,コンプレッサーリリース ツールチップ,コンプレッサーが解除されるまでの時間（秒）。,The time (in seconds) it takes for the compressor to release.,压缩器释放所需的时间（秒）。,壓縮器釋放所需的時間（秒）。,컴프레서가 해제될 때까지의 시간(초)입니다.,El tiempo (en segundos) que tarda el compresor en liberarse.,الوقت (بالثواني) الذي يستغرقه الضاغط للتوقف عن العمل.,
AlgorithmicReverbGroupHeader,アルゴリズミックリバーブ グループヘッダー,アルゴリズミックリバーブ,Algorithmic Reverb,算法混响,演算法混響,알고리즘 리버브,Reverberación Algorítmica,صدى خوارزمي,
AlgorithmicReverbTooltip,アルゴリズミックリバーブ ツールチップ,計算によって残響を生成する高品質なリバーブです。,A high-quality reverb that generates reverberation through calculations.,通过计算产生混响的高质量混响。,通過計算產生殘響的高品質混響。,계산을 통해 잔향을 생성하는 고품질 리버브입니다.,Una reverberación de alta calidad que genera reverberación mediante cálculos.,صدى عالي الجودة يولد صدى صوتي من خلال العمليات الحسابية.,
EnableAlgorithmicReverbCheckbox,アルゴリズミックリバーブ有効チェックボックス,アルゴリズミックリバーブを有効にする,Enable Algorithmic Reverb,启用算法混响,啟用演算法混響,알고리즘 리버브 활성화,Habilitar Reverberación Algorítmica,تمكين صدى خوارزمي,
ReverbRoomSizeLabel,リバーブ部屋の広さラベル,部屋の広さ,Room Size,房间大小,房間大小,방 크기,Tamaño de Sala,حجم الغرفة,
ReverbDampingLabel,リバーブ減衰ラベル,減衰,Damping,阻尼,阻尼,댐핑,Amortiguación,التخميد,
ReverbWetLevelLabel,リバーブウェットレベル ラベル,ウェット,Wet,湿声,濕聲,웻,Wet,رطب,
ReverbDryLevelLabel,リバーブドライレベル ラベル,ドライ,Dry,干声,乾聲,드라이,Dry,جاف,
ReverbWidthLabel,リバーブ広がりラベル,広がり,Width,宽度,寬度,너비,Anchura,الاتساع,
ConvolutionReverbGroupHeader,畳み込みリバーブ グループヘッダー,畳み込みリバーブ,Convolution Reverb,卷积混响,摺積混響,컨볼루션 리버브,Reverberación de Convolución,صدى التوافقي,
ConvolutionReverbTooltip,畳み込みリバーブ ツールチップ,インパルス応答(IR)ファイルを使用して、リアルな残響を再現します。,Uses an Impulse Response (IR) file to reproduce realistic reverberation.,使用脉冲响应(IR)文件再现实时混响。,使用脈衝響應(IR)檔案重現真實殘響。,임펄스 응답(IR) 파일을 사용하여 사실적인 잔향을 재현합니다.,Utiliza un archivo de Respuesta a Impulso (IR) para reproducir una reverberación realista.,يستخدم ملف استجابة نبضية (IR) لإعادة إنتاج صدى صوتي واقعي.,
EnableConvolutionReverbCheckbox,畳み込みリバーブ有効チェックボックス,畳み込みリバーブを有効にする,Enable Convolution Reverb,启用卷积混响,啟用摺積混響,컨볼루션 리버브 활성화,Habilitar Reverberación de Convolución,تمكين صدى التوافقي,
IrFilePathLabel,IRファイルパス ラベル,IRファイルパス,IR File Path,IR 文件路径,IR 檔案路徑,IR 파일 경로,Ruta Archivo IR,مسار ملف IR,
BrowseButton,参照ボタン,...,Browse...,浏览...,瀏覽...,...,Explorar...,استعراض...,
MaxIrDurationLabel,IR最大読み込み時間 ラベル,最大読み込み時間 (s),Max Load Time (s),最大加载时间 (秒),最大載入時間 (秒),최대 로드 시간 (초),Tiempo Máx. Carga (s),أقصى وقت تحميل (ث),
MaxIrDurationTooltip,IR最大読み込み時間 ツールチップ,インパルス応答ファイルの最大読み込み時間を秒単位で指定します。,Specify the maximum load time for the impulse response file in seconds.,指定脉冲响应文件的最大加载时间（秒）。,指定脈衝響應檔案的最大載入時間（秒）。,임펄스 응답 파일의 최대 로드 시간을 초 단위로 지정합니다.,Especifique el tiempo máximo de carga para el archivo de respuesta a impulso en segundos.,حدد أقصى وقت تحميل لملف الاستجابة النبضية بالثواني.,
DistortionGroupHeader,ディストーション グループヘッダー,ディストーション,Distortion,失真,失真,디스토션,Distorsión,تشويه,
DistortionTooltip,ディストーション ツールチップ,音を歪ませて力強いサウンドを作ります。,Distorts the sound to create a powerful sound.,扭曲声音以创造强大的声音。,扭曲聲音以創造強大的聲音。,사운드를 왜곡하여 강력한 사운드를 만듭니다.,Distorsiona el sonido para crear un sonido potente.,يشوه الصوت لخلق صوت قوي.,
EnableDistortionCheckbox,ディストーション有効チェックボックス,ディストーションを有効にする,Enable Distortion,启用失真,啟用失真,디스토션 활성화,Habilitar Distorsión,تمكين التشويه,
DistortionTypeLabel,ディストーション種類ラベル,種類,Type,类型,類型,종류,Tipo,النوع,
DistortionDriveLabel,ディストーションドライブ ラベル,ドライブ,Drive,驱动,驅動,드라이브,Drive,القيادة,
DistortionMixLabel,ディストーションミックス ラベル,ミックス,Mix,混合,混合,믹스,Mezcla,مزيج,
BitCrusherGroupHeader,ビットクラッシャー グループヘッダー,ビットクラッシャー,Bit Crusher,比特失真,位元壓縮,비트 크러셔,Bit Crusher,سحق البت,
BitCrusherTooltip,ビットクラッシャー ツールチップ,音質を意図的に劣化させ、レトロなサウンドを作ります。,Intentionally degrades sound quality to create a retro sound.,故意降低音质以创造复古声音。,故意降低音質以創造復古聲音。,의도적으로 음질을 저하시켜 레트로 사운드를 만듭니다.,Degrada intencionalmente la calidad del sonido para crear un sonido retro.,يقلل جودة الصوت عمداً لخلق صوت قديم.,
EnableBitCrusherCheckbox,ビットクラッシャー有効チェックボックス,ビットクラッシャーを有効にする,Enable Bit Crusher,启用比特失真,啟用位元壓縮,비트 크러셔 활성화,Habilitar Bit Crusher,تمكين سحق البت,
BitDepthLabel,ビット深度ラベル,ビット深度,Bit Depth,位深度,位元深度,비트 심도,Profundidad de Bits,عمق البت,
RateReductionLabel,レート削減ラベル,レート削減,Rate Reduction,速率降低,速率降低,레이트 감소,Reducción de Tasa,تقليل المعدل,
PingPongDelayGroupHeader,ピンポンディレイ グループヘッダー,ピンポンディレイ,Ping Pong Delay,乒乓延迟,乒乓延遲,핑퐁 딜레이,Delay Ping Pong,تأخير بينغ بونغ,
PingPongDelayTooltip,ピンポンディレイ ツールチップ,左右のチャンネルで交互にやまびこ効果を生み出すディレイです。,A delay that creates an echo effect alternating between left and right channels.,在左右声道之间交替产生回声效果的延迟。,在左右聲道之間交替產生回聲效果的延遲。,좌우 채널에서 번갈아 메아리 효과를 내는 딜레이입니다.,Un retardo que crea un efecto de eco alternando entre los canales izquierdo y derecho.,تأخير يخلق تأثير صدى يتناوب بين القنوات اليسرى واليمنى.,
EnablePingPongDelayCheckbox,ピンポンディレイ有効チェックボックス,ピンポンディレイを有効にする,Enable Ping Pong Delay,启用乒乓延迟,啟用乒乓延遲,핑퐁 딜레이 활성화,Habilitar Delay Ping Pong,تمكين تأخير بينغ بونغ,
DelayTimeLabel,ディレイタイム ラベル,ディレイタイム (s),Delay Time (s),延迟时间 (秒),延遲時間 (秒),딜레이 타임 (초),Tiempo de Delay (s),وقت التأخير (ث),
DelayTimeTooltip,ディレイタイム ツールチップ,やまびこの間隔（秒）。,The interval of the echo (in seconds).,回声的间隔（秒）。,回聲的間隔（秒）。,메아리 간격(초).,El intervalo del eco (en segundos).,الفاصل الزمني للصدى (بالثواني).,
FeedbackLabel,フィードバック ラベル,フィードバック,Feedback,反馈,反饋,피드백,Retroalimentación,ردود الفعل,
FeedbackTooltip,フィードバック ツールチップ,やまびこが繰り返される回数。,The number of times the echo repeats.,回声重复的次数。,回聲重複的次數。,메아리가 반복되는 횟수.,El número de veces que se repite el eco.,عدد مرات تكرار الصدى.,
MixLabel,ミックス ラベル,Mix,Mix,混合,混合,믹스,Mezcla,مزيج,
MixTooltip,ミックス ツールチップ,原音とエフェクト音のバランス。,The balance between the original sound (dry) and the effect sound (wet).,原始声音（干声）和效果声音（湿声）之间的平衡。,原始聲音（乾聲）和效果聲音（濕聲）之間的平衡。,원본 사운드(드라이)와 이펙트 사운드(웻)의 밸런스.,El equilibrio entre el sonido original (seco) y el sonido del efecto (húmedo).,التوازن بين الصوت الأصلي (الجاف) وصوت التأثير (الرطب).,
ChorusGroupHeader,コーラス グループヘッダー,コーラス,Chorus,合唱,合唱,코러스,Chorus,جوقة,
ChorusTooltip,コーラス ツールチップ,音をわずかに揺らして重ねることで、音に厚みと広がりを与えます。,Adds thickness and width to the sound by slightly detuning and layering it.,通过轻微的晃动和叠加声音，为声音增添厚度和宽度。,通過輕微的晃動和疊加聲音，為聲音增添厚度和寬度。,사운드를 약간 흔들어 겹쳐서 사운드에 두께와 넓이를 줍니다.,Añade grosor y amplitud al sonido desafinándolo ligeramente y superponiéndolo.,يضيف سماكة واتساعًا للصوت عن طريق تعديل درجة الصوت قليلاً وتطبيقه.,
EnableChorusCheckbox,コーラス有効チェックボックス,コーラスを有効にする,Enable Chorus,启用合唱,啟用合唱,코러스 활성화,Habilitar Chorus,تمكين الجوقة,
ChorusDelayLabel,コーラスディレイ ラベル,ディレイ (s),Delay (s),延迟 (秒),延遲 (秒),딜레이 (초),Delay (s),التأخير (ث),
ChorusDelayTooltip,コーラスディレイ ツールチップ,原音と重ねる音の遅延時間（秒）。,The delay time (in seconds) of the layered sound against the original sound.,叠加声音相对于原始声音的延迟时间（秒）。,疊加聲音相對於原始聲音的延遲時間（秒）。,원본 사운드에 겹치는 사운드의 딜레이 시간(초).,El tiempo de retardo (en segundos) del sonido superpuesto contra el sonido original.,وقت التأخير (بالثواني) للصوت المضاف فوق الصوت الأصلي.,
ChorusDepthLabel,コーラス深さラベル,深さ,Depth,深度,深度,깊이,Profundidad,العمق,
ChorusDepthTooltip,コーラス深さツールチップ,音の揺れの深さ。,The depth of the sound modulation.,声音调制的深度。,聲音調製的深度。,사운드 변조의 깊이.,La profundidad de la modulación del sonido.,عمق تعديل الصوت.,
ChorusRateLabel,コーラスレート ラベル,レート (Hz),Rate (Hz),速率 (Hz),速率 (Hz),레이트 (Hz),Tasa (Hz),المعدل (هرتز),
ChorusRateTooltip,コーラスレート ツールチップ,音を揺らす速さ（Hz）。,The speed of the sound modulation (in Hz).,声音调制的速度（Hz）。,聲音調製的速度（Hz）。,사운드 변조 속도(Hz).,La velocidad de la modulación del sonido (en Hz).,سرعة تعديل الصوت (بالهرتز).,
ChorusStrengthLabel,コーラス強度ラベル,強度,Strength,强度,強度,강도,Fuerza,القوة,
ChorusStrengthTooltip,コーラス強度ツールチップ,原音に対するコーラス音の強さ。,The strength of the chorus sound relative to the original sound.,合唱声音相对于原始声音的强度。,合唱聲音相對於原始聲音的強度。,원본 사운드에 대한 코러스 사운드의 강도.,La fuerza del sonido del chorus en relación con el sonido original.,قوة صوت الجوقة بالنسبة للصوت الأصلي.,
PhaserGroupHeader,フェイザー グループヘッダー,フェイザー,Phaser,移相器,移相器,페이저,Phaser,المحول الطوري,
PhaserTooltip,フェイザー ツールチップ,音の位相をずらして独特のうねりを生み出すエフェクトです。,An effect that creates a unique swirling sound by shifting the phase of the sound.,通过改变声音的相位来创造独特旋转声音的效果。,通過改變聲音的相位來創造獨特旋轉聲音的效果。,사운드의 위상을 이동시켜 독특한 소용돌이 사운드를 만드는 이펙트입니다.,Un efecto que crea un sonido giratorio único al desplazar la fase del sonido.,تأثير يخلق صوتًا دوارًا فريدًا عن طريق تحويل طور الصوت.,
EnablePhaserCheckbox,フェイザー有効チェックボックス,フェイザーを有効にする,Enable Phaser,启用移相器,啟用移相器,페이저 활성화,Habilitar Phaser,تمكين المحول الطوري,
PhaserRateLabel,フェイザーレート ラベル,レート (Hz),Rate (Hz),速率 (Hz),速率 (Hz),레이트 (Hz),Tasa (Hz),المعدل (هرتز),
PhaserRateTooltip,フェイザーレート ツールチップ,位相を変化させる速さ（Hz）。,The speed at which the phase is changed (in Hz).,改变相位的速度（Hz）。,改變相位的速度（Hz）。,위상을 변화시키는 속도(Hz).,La velocidad a la que se cambia la fase (en Hz).,السرعة التي يتم بها تغيير الطور (بالهرتز).,
PhaserStagesLabel,フェイザーステージ数ラベル,ステージ数,Stages,级数,級數,스테이지 수,Etapas,المراحل,
PhaserStagesTooltip,フェイザーステージ数ツールチップ,フェイザーのフィルターの段数。多いほど複雑な効果になります。,The number of filter stages in the phaser. More stages create a more complex effect.,移相器中滤波器的级数。级数越多，效果越复杂。,移相器中濾波器的級數。級數越多，效果越複雜。,페이저의 필터 단 수. 많을수록 복잡한 효과가 나타납니다.,El número de etapas de filtro en el phaser. Más etapas crean un efecto más complejo.,عدد مراحل المرشح في المحول الطوري. المزيد من المراحل يخلق تأثيرًا أكثر تعقيدًا.,
PhaserFeedbackLabel,フェイザーフィードバック ラベル,フィードバック,Feedback,反馈,反饋,피드백,Retroalimentación,ردود الفعل,
PhaserFeedbackTooltip,フェイザーフィードバック ツールチップ,エフェクト音を再度入力に戻す量。効果を強調します。,The amount of the effect sound fed back into the input. Emphasizes the effect.,反馈到输入的效应声音量。强调效果。,反饋到輸入的效應聲音量。強調效果。,이펙트 사운드를 다시 입력으로 피드백하는 양. 이펙트를 강조합니다.,La cantidad de sonido del efecto retroalimentado a la entrada. Enfatiza el efecto.,كمية صوت التأثير المُعاد إدخاله. يؤكد على التأثير.,
FlangerGroupHeader,フランジャー グループヘッダー,フランジャー,Flanger,镶边器,鑲邊器,플랜저,Flanger,الشفير,
FlangerTooltip,フランジャー ツールチップ,コーラスに似ていますが、より短く周期的な遅延を用いて金属的なうねりを生み出します。,Similar to chorus, but uses shorter, periodic delays to create a metallic swirling sound.,类似于合唱，但使用更短、周期性的延迟来创造金属般的旋转声音。,類似於合唱，但使用更短、週期性的延遲來創造金屬般的旋轉聲音。,코러스와 비슷하지만 더 짧고 주기적인 딜레이를 사용하여 금속성의 소용돌이 사운드를 만듭니다.,Similar al chorus, pero utiliza retardos más cortos y periódicos para crear un sonido metálico giratorio.,مشابه للجوقة، ولكنه يستخدم تأخيرات أقصر ودورية لإنشاء صوت دوامة معدني.,
EnableFlangerCheckbox,フランジャー有効チェックボックス,フランジャーを有効にする,Enable Flanger,启用镶边器,啟用鑲邊器,플랜저 활성화,Habilitar Flanger,تمكين الشفير,
FlangerDelayLabel,フランジャーディレイ ラベル,ディレイ (s),Delay (s),延迟 (秒),延遲 (秒),딜레이 (초),Delay (s),التأخير (ث),
FlangerDelayTooltip,フランジャーディレイ ツールチップ,遅延時間（秒）。,Delay time (in seconds).,延迟时间（秒）。,延遲時間（秒）。,딜레이 시간(초).,Tiempo de retardo (en segundos).,وقت التأخير (بالثواني).,
FlangerRateLabel,フランジャーレート ラベル,レート (Hz),Rate (Hz),速率 (Hz),速率 (Hz),레이트 (Hz),Tasa (Hz),المعدل (هرتز),
FlangerRateTooltip,フランジャーレート ツールチップ,うねりの速さ（Hz）。,The speed of the swirl (in Hz).,旋转的速度（Hz）。,旋轉的速度（Hz）。,소용돌이 속도(Hz).,La velocidad del remolino (en Hz).,سرعة الدوامة (بالهرتز).,
FlangerDepthLabel,フランジャー深さラベル,深さ,Depth,深度,深度,깊이,Profundidad,العمق,
FlangerDepthTooltip,フランジャー深さツールチップ,うねりの深さ。,The depth of the swirl.,旋转的深度。,旋轉的深度。,소용돌이의 깊이.,La profundidad del remolino.,عمق الدوامة.,
LimiterGroupHeader,リミッター グループヘッダー,リミッター,Limiter,限制器,限制器,리미터,Limitador,المحدد,
LimiterTooltip,リミッター ツールチップ,音量が一定のしきい値を超えないように制限し、音割れ（クリッピング）を防ぎます。,Limits the volume from exceeding a certain threshold, preventing clipping.,限制音量不超过某个阈值，防止削波。,限制音量不超過某個閾值，防止削波。,볼륨이 특정 임계값을 초과하지 않도록 제한하여 클리핑을 방지합니다.,Limita el volumen para que no supere un cierto umbral, evitando el recorte.,يحد من مستوى الصوت لكي لا يتجاوز عتبة معينة، مما يمنع التقطيع.,
EnableLimiterCheckbox,リミッター有効チェックボックス,リミッターを有効にする,Enable Limiter,启用限制器,啟用限制器,리미터 활성화,Habilitar Limitador,تمكين المحدد,
LimiterThresholdLabel,リミッター閾値ラベル,閾値,Threshold,阈值,閾值,임계값,Umbral,العتبة,
LimiterThresholdTooltip,リミッター閾値ツールチップ,音量を制限する上限値。,The upper limit to restrict the volume.,限制音量的上限。,限制音量的上限。,볼륨을 제한하는 상한값.,El límite superior para restringir el volumen.,الحد الأعلى لتقييد مستوى الصوت.,
EqualizerGroupHeader,イコライザー グループヘッダー,イコライザー,Equalizer,均衡器,等化器,이퀄라이저,Ecualizador,المعادل,
EqualizerTooltip,イコライザー ツールチップ,特定の周波数帯域を強調したり、抑制したりして音質を調整します。,Adjusts sound quality by boosting or cutting specific frequency bands.,通过增强或抑制特定频段来调整音质。,通過增強或抑制特定頻段來調整音質。,특정 주파수 대역을 강조하거나 억제하여 음질을 조정합니다.,Ajusta la calidad del sonido realzando o atenuando bandas de frecuencia específicas.,يضبط جودة الصوت عن طريق تعزيز أو خفض نطاقات تردد معينة.,
EnableEqualizerCheckbox,イコライザー有効チェックボックス,イコライザーを有効にする,Enable Equalizer,启用均衡器,啟用等化器,이퀄라이저 활성화,Habilitar Ecualizador,تمكين المعادل,
EqBassGainLabel,EQ低音ゲイン ラベル,低音ゲイン,Bass Gain,低音增益,低音增益,저음 게인,Ganancia de Graves,كسب الجهير,
EqBassGainTooltip,EQ低音ゲイン ツールチップ,低音域のゲイン（音量）を調整します。,Adjusts the gain (volume) of the bass range.,调整低音范围的增益（音量）。,調整低音範圍的增益（音量）。,저음역의 게인(볼륨)을 조정합니다.,Ajusta la ganancia (volumen) del rango de graves.,يضبط الكسب (مستوى الصوت) لنطاق الجهير.,
EqMidGainLabel,EQ中音ゲイン ラベル,中音ゲイン,Mid Gain,中音增益,中音增益,중음 게인,Ganancia de Medios,كسب المتوسط,
EqMidGainTooltip,EQ中音ゲイン ツールチップ,中音域のゲイン（音量）を調整します。,Adjusts the gain (volume) of the mid range.,调整中音范围的增益（音量）。,調整中音範圍的增益（音量）。,중음역의 게인(볼륨)을 조정합니다.,Ajusta la ganancia (volumen) del rango medio.,يضبط الكسب (مستوى الصوت) للنطاق المتوسط.,
EqTrebleGainLabel,EQ高音ゲイン ラベル,高音ゲイン,Treble Gain,高音增益,高音增益,고음 게인,Ganancia de Agudos,كسب الثلاثي,
EqTrebleGainTooltip,EQ高音ゲイン ツールチップ,高音域のゲイン（音量）を調整します。,Adjusts the gain (volume) of the treble range.,调整高音范围的增益（音量）。,調整高音範圍的增益（音量）。,고음역의 게인(볼륨)을 조정합니다.,Ajusta la ganancia (volumen) del rango de agudos.,يضبط الكسب (مستوى الصوت) لنطاق الثلاثي.,
OtherEffectsGroupHeader,その他エフェクト グループヘッダー,その他,Other,其他,其他,기타,Otros,أخرى,
EnableDcOffsetRemovalCheckbox,DCオフセット除去有効チェックボックス,DCオフセット除去を有効にする,Enable DC Offset Removal,启用直流偏移消除,啟用直流偏移消除,DC 오프셋 제거 활성화,Habilitar Eliminación de Desplazamiento DC,تمكين إزالة إزاحة التيار المستمر,
